Word,Meaning,Synonyms
amorphous,,"shapeless,formless,unformed,structureless,indefinite,vague,Nebulous"
austere,,"sober,frugal,spartan,ascetic,puritanical,abstemious,,,,,,"
abound,,"Proliferate,superabound,thrive,flourish,abundant,Copious,lavish,Profuse,Munificent,prolific,Inexhaustible,galore"
belie,,"Contradict,conceal,Falsify,debunk,Confute,Colour,,,,,,"
capricious,,"fickle,mercurial,erratic,fitful,arbitrary,temperamental,whimsical,wayward,quirky,haphazard,,"
congenial,,"pleasant,pleasurable,satisfying,gratifying,adapted,,,,,,,"
conspicuous,,"clear,discernible,flagrant,ostentatious,overt,blatant,inescapable,,,,,"
cursory,,"perfunctory,desultory,superficial,mechanical,automatic,fleeting,slapdash,,,,,"
daunting,,"intimidating,disconcerting,unnerving,demoralizing,forbidding,ominous,taxing,,,,,"
deify,,"revere,venerate,reverence,extol,exalt,adore,immortalize,lionize,aggrandize,,,"
didactic,,"educative,doctrinal,academic,scholastic,edifying,heuristic,pedantic,,,,,"
disseminate,,"disperse,diffuse,proclaim,promulgate,dissipate,herald,trumpet,,,,,"
Feasible,,"practical,achievable,viable,realistic,suitable,expedient,constructive,earthly,,,,"
flout,,"defy,scorn,disdain,contravene,infringe,breach,infract,,,,,"
homogeneous,,"equivalent,analogous,parallel,kindred,correlative,congruent,cognate,,,,"
humdrum,,"mundane,dreary,tedious,monotonous,banal,prosaic,quotidian,commonplace,workaday,pedestrian,vanilla"
insipid,,"Bland,Weak,Vapid,Common place,Proasic,Trite,Banal,hackneyed,,,"
loquacious,,"garrulous,voluble,verbose,profuse,prolix,effusive,Gabby,,,,"
misanthropic,,"reclusive,uncongenial,cynical,sceptical,jaundiced,narrow-minded,,,,,"
negligent,,"lax,heedless,slack,slapdash,slipshod,barratrous,delinquent,inadvertent,,,"
obsequious,,"servile,ingratiating,unctuous,sycophantic,subservient,submissive,abject,bootlicking,,,"
placate,,"pacify,appease,mollify,conciliate,propitiate,,,,,,"
proclivity,,"inclination,disposition,propensity,bias,penchant,predilection,taste,,,,"
puerile,,"infantile,juvenile,fatuous,Foolish,,,,,,,"
quixotic,,"idealistic,romantic,extravagant,visionary,utopian,perfectionist,unrealistic,impossible,inefficacious,,"
spendthrift,,"profligate,prodigal,squanderer,Extravagant,,,,,,,"
taciturn,,"reticent,secretive,inarticulate,aloof,cold,,,,,,"
wary,,"circumspect,prudent,vigilant,sceptical,dubious,guarded,,,,,"
adulterate,,"degrade,debase,contaminate,sully,dilute,weaken,bastardize,corrupt,vitiate,,"
advocate,,"champion,proponent,patron,missionary(vanilla position),propagandist,apologist,,,,,"
alacrity,,"enthusiasm,ardour,fervour,liveliness,zeal,haste,briskness,swiftness,,,"
ambivalent,,"equivocal,doubtful,irresolute,fluctuating,confused,muddled,vague,hazy,iffy,,"
ameliorate,,"amend,refine,mitigate,rectify,remedy,fix,square,tweak,,,"
amenable,,"compliant,acquiescent,biddable,manageable,tractable,pliant,malleable,complaisant,docile,tame,meek"
audacious,,"intrepid,valiant,plucky,dynamic,spirited,mettlesome,spunky,venturous,temerarious,,"
avaricious,,"acquisitive,covetous,greedy,rapacious,mercenary,materialistic,mean,miserly,grabby,,,,,,,"
banal,,"trite,hackneyed,platitudinous,vapid,commonplace,pedestrian,humdrum,,,,,,,,,"
benign,,"clement,salubrious,propitious,auspicious,amiable,congenial,cordial,tender,benevolent,indulgent,benignant,,,,,"
brazen,,"presumptuous,impudent,insolent,impertinent,pert,blatant,flagrant,,,,,,,,,"
calumny,,"slander,muckraking,aspersions,vilification,traducement,obloquy,vituperation,revilement,scurrility,insults,,,,,,"
candid,,"frank,outspoken,unvarnished,,,,,,,,,,,,,"
castigate,,"reprimand,rebuke,admonish,chastise,chide,upbraid,reproach,berate,lambaste,criticize,censure,punish,discipline,chasten,reprehend,objurgate"
caustic,,"sarcastic,mordant,bitter,scathing,sardonic,scornful,trenchant,acerbic,vitriolic,pungent,acrimonious,polemic,virulent,waspish"
construe,,"parse,render,elucidate,,,,,,,,,,,"
contrite,,"remorseful,repentant,penitent,apologetic,rueful,ashamed,chastened,compunctious,,,,,,"
convoluted,,"complicated,intricate,elaborate,impenetrable,tortuous,tangled,bewildering,baffling,perplexing,,,,,"
craven,,"cowardly,timid,timorous,fearful,quaking,cowering,weak,feeble,wimpish,wimpy,recreant,,,"
decorum,,"propriety,decency,good taste,politeness,courtesy,breeding,deportment,modesty,,,,,,"
deft,,"adroit,dexterous,nimble,proficient,shrewd,astute,canny,artful,,,,,,"
demur,,"cavil,dissent,balk,,,"
derivative,,"imitative,trite,hackneyed,banal,,"
diatribe,,"tirade,harangue,reprimand,admonishment,vituperation,castigation"
incredulous,,"dubious,cynical,sceptical,wary,,"
ingenuous,,"candid,unsophisticated,artless,genuine,,"
abate,,"alleviate,mitigate,mollify,assuage,palliate,appease,attenuate,,"
abjure,,"relinquish,abandon,gainsay,disclaim,repudiate,abnegate,eschew,forsake,"
anomalous,,"aberrant,peculiar,incongruous,deviant,divergent,eccentric,,,"
antipathy,,"animosity,aversion,animus,enmity,abhorrence,loathing,repugnance,,"
arcane,,"covert,clandestine,enigmatic,esoteric,abstruse,recondite,inscrutable,impenetrable,opaque"
arduous,,"onerous,taxing,laborious,strenuous,vigorous,Herculean,formidable,exhausting,"
artless,,"modest,ingenuous,guileless,candid,,,,,"
ascetic,,"austere,abstemious,frugal,rigorous,spartan,monkish,chaste,,,"
assuage,,"alleviate,mitigate,palliate,abate,tranquillize,mollify,moderate,attenuate,diminish,quench"
betray,,"reveal,uncover,unmask,expose,discover,,,,,"
bucolic,,"rustic,pastoral,countryside,agricultural,agrarian,outdoor,idyllic,Arcadian,,"
burgeon,,"proliferate,escalate,flourish,thrive,prosper,,,,,"
cacophonous,,"thunderous,raucous,dissonant,inharmonious,strident,grating,jarring,absonant,,"
chicanery,,"subterfuge,guile,skulduggery,hoodwinking,artfulness,,,,,"
coalesce,,"amalgamate,consolidate,synthesize,,,,,,,"
cogent,,"plausible,eloquent,credible,lucid,coherent,articulate,,,,"
compelling,,"enthralling,riveting,entrancing,hypnotic,absorbing,,,,,"
contend,,"profess,aver,avow,,,,,,,"
copious,,"abundant,profuse,lavish,bountiful,abounding,manifold,galore,lank,bounteous,myriad"
cosmopolitan,,"suave,urbane,refined,sophisticated,,,,,,"
deference,,"reverence,veneration,awe,submission,obeisance,,,,,"
desultory,,"cursory,superficial,perfunctory,haphazard,random,automatic,capricious,mechanical,chaotic,sporadic,fitful,"
diffident,,"bashful,meek,unassertive,timid,wary,,,,,,,"
dilatory,,"tardy,lax,indolent,loitering,lingering,dawdling,,,,,,"
equivocate,,"prevaricate,hedge,vacillate,cavil,quibble,waffle,,,,,,"
prodigal,,"extravagant,spendthrift,imprudent,profligate,wanton,generous,lavish,copious,profuse,,,"
verbose,,"loquacious,garrulous,voluble,effusive,prolix,circumlocutory,tautological,redundant,tortuous,convoluted,diffuse,meandering"
abstain,,"desist,forbear,renounce,shun,eschew,abandon,abjure,,,,,,,,,,,,,,"
approbation,,"adulation,veneration,accolades,plaudits,laudation,,,,,,,,,,,,,,,,"
cherish,,"revere,admire,protect,nurture,,,,,,,,,,,,,,,,,"
corroborate,,"endorse,validate,sustain,bolster,reinforce,,,,,,,,,,,,,,,,"
disparate,,"contrasting,heterogeneous,distinct,myriad,,,,,,,,,,,,,,,,,"
emulate,,"imitate,reproduce,mimic,equal,parallel,surpass,,,,,,,,,,,,,,,"
enervate,,"exhaust,fatigue,weary,sap,enfeeble,poop,torpefy,,,,,,,,,,,,,,"
ephemeral,,"transitory,transient,cursory,evanescent,fugitive,fugacious,,,,,,,,,,,,,,,"
fervid,,"fervent,ardent,passionate,vehement,avid,,,,,,,,,,,,,,,,"
garrulous,,"loquacious,voluble,verbose,jabbering,effusive,prolix,,,,,,,,,,,,,,,"
incendiary,,"agitator,firebrand,troublemaker,revolutionary,insurgent,subversive,instigator,,,,,,,,,,,,,,"
inimical,,"antagonistic,unsympathetic,malevolent,detrimental,deleterious,pernicious,prejudicial,malefic,,,,,,,,,,,,,"
intimate,,"cherished,constant,devoted,favourite,,,,,,,,,,,,,,,,,"
invigorate,,"revitalize,revive,vivify,rejuvenate,galvanize,,,,,,,,,,,,,,,,"
mitigate,,"alleviate,attenuate,assuage,appease,moderate,abate,pacify,placate,mollify,tranquillize,,,,,,,,,,,"
obsolete,,"anachronistic,antique,archaic,defunct,,,,,,,,,,,,,,,,,"
opaque,,"perplexing,enigmatic,equivocal,cryptic,abstruse,recondite,arcane,esoteric,,,,,,,,,,,,,"
pedantic,,"scrupulous,precisionist,punctilious,meticulous,fastidious,dogmatic,cerebral,didactic,,,,,,,,,,,,,"
placid,,"equable,tranquil,imperturbable,serene,,,,,,,,,,,,,,,,,"
polemical,,"vitriolic,waspish,trenchant,acerbic,sardonic,scathing,pungent,acidulous,,,,,,,,,,,,,"
precipitate,,"impetuous,imprudent,temerarious,expedite,instigate,,,,,,,,,,,,,,,,"
profundity,,"sagacity,acuity,profoundness,perceptiveness,penetration,perception,,,,,,,,,,,,,,,"
prophetic,,"prescient,predictive,prophetical,prognostic,divinatory,oracular,,,,,,,,,,,,,,,"
prudent,,"sagacious,canny,circumspect,thrifty,sparing,frugal,abstemious,,,,,,,,,,,,,,"
punctilious,,"meticulous,scrupulous,painstaking,fastidious,finical,pedantic,laborious,,,,,,,,,,,,,,"
recondite,,"abstruse,arcane,esoteric,abstract,unfathomable,,,,,,,,,,,,,,,,"
scrupulous,,"meticulous,painstaking,assiduous,sedulous,punctilious,religious,pedantic,virtuous,,,,,,,,,,,,,"
tranquil,,"reposeful,serene,placid,idyllic,stoical,pacific,,,,,,,,,,,,,,,"
vacillate,,"dither,irresolute,tentative,dithering,ambivalent,,,,,,,,,,,,,,,,"
aloof,,",austere,haughty,supercilious,disdainful,,,,,,,,,,,,,,,,"
conventional,,"orthodox,decorous,suburban,parochial,stodgy,,,,,,,,,,,,,,,,"
debunk,,"deflate,quash,controvert,confute,negate,challenge,,,,,,,,,,,,,,,"
diminutive,,"compact,homuncular,miniature,,,,,,,,,,,,,,,,,,"
discernible,,"obvious,manifest,conspicuous,patent,evident,distinct,,,,,,,,,,,,,,,"
enigmatic,,"perplexing,bewildering,inscrutable,equivocal,paradoxical,oblique,arcane,abstruse,recondite,esoteric,,,,,,,,,,,"
estrange,,"alienate,antagonize,,,,,,,,,,,,,,,,,,,"
extravagant,,"spendthrift,profligate,prodigal,squandering,imprudent,exorbitant,inordinate,ostentatious,,,,,,,,,,,,,"
fanciful,,"whimsical,capricious,quixotic,chimerical,extravagant,eccentric,baroque,,,,,,,,,,,,,,"
frivolous,,"waggish,facetious,superficial,frothy,trivial,peripheral,zany,whimsical,,,,,,,,,,,,,"
heterogeneous,,",sundry,variegated,motley,myriad,,,,,,,,,,,,,,,,"
imperious,,"peremptory,authoritarian,lordly,officious,,,,,,,,,,,,,,,,,"
impertinent,,"insolent,impudent,audacious,brazen,presumptuous,pert,,,,,,,,,,,,,,,"
irresolute,,"tentative,vacillating,equivocating,dithering,fluctuating,ambivalent,iffy,,,,,,,,,,,,,,"
laudable,,"praiseworthy,admirable,meritorious,sterling,,,,,,,,,,,,,,,,,"
lax,,"slipshod,heedless,slapdash,permissive,indulgent,,,,,,,,,,,,,,,,"
panache,,"flamboyance,zest,vivacity,pizzazz,,,,,,,,,,,,,,,,,"
plodding,,"wade,toil,trawl,,,,,,,,,,,,,,,,,,"
prosaic,,"humdrum,mundane,insipid,vapid,banal,hackneyed,trite,unembellished,monotonous,,,,,,,,,,,,"
restive,,"restless,fidgety,apprehensive,nervy,jittery,,,,,,,,,,,,,,,,"
sporadic,,"fitful,desultory,erratic,,,,,,,,,,,,,,,,,,"
stigmatize,,"condemn,disparage,vilify,pillory,defame,,,,,,,,,,,,,,,,"
undermine,,"erode,subvert,sabotage,enfeeble,sap,,,,,,,,,,,,,,,,"
utterly,,"absolutely,radically,stark,bigly,,,,,,,,,,,,,,,,"
weary,,"sapped,prostrate,enervated,jaded,knackered,pooped,,,,,,,,,,,,,,,"
zealous,,"fervent,ardent,fervid,zestful,perfervid,,,,,,,,,,,,,,,,"
admonish,,"castigate,lambaste,berate,carpet,reprehend,objurgate,,,,,,,,,,,,,,,"
aesthetic,,"ornamental,graceful,attractive,stylish,artistic,,,,,,,,,,,,,,,,"
affectation,,"pretension,pretence,ostentation,grandiosity,superciliousness,pretensions,masquerade,charade,feigning,,,,,,,,,,,,"
alleviate,,"diminish,assuage,palliate,quell,abate,pacify,placate,extenuate,mollify,,,,,,,,,,,,"
analogous,,"parallel,kindred,cognate,homologous,,,,,,,,,,,,,,,,,"
bolster,,"reinforce,fortify,buttress,revitalize,invigorate,,,,,,,,,,,,,,,,"
connoisseur,,"pundit,savant,aesthete,epicure,gastronome,maven,,,,,,,,,,,,,,,"
dissemble,,"dissimulate,feign,masquerade,counterfeit,pose,posture,shroud,,,,,,,,,,,,,,"
dogged,,"tenacious,pertinacious,obdurate,steadfast,staunch,laborious,indurate,,,,,,,,,,,,,,"
dupe,,"hoodwink,gull,ensnare,beguile,bamboozle,finagle,euchre,simpleton,stooge,patsy,sap,schlemiel,,,,,,,,,"
empirical,,"observed,factual,verifiable,pragmatic,heuristic,,,,,,,,,,,,,,,,"
engender,,"incite,kindle,instigate,foment,beget,enkindle,effectuate,,,,,,,,,,,,,,"
